Store,Product,StockOnHand
TechIsUs,BC327,50
TechIsUs,BC328,50
TechIsUs,BC337,50
TechIsUs,BC338,50
TechIsUs,BC639,50
TechIsUs,BC546,75
TechIsUs,BC547,75
TechIsUs,BC548,75
TechIsUs,BC549,75
TechIsUs,BC550,75
TechIsUs,BC556,25
TechIsUs,BC557,25
TechIsUs,BC558,25
TechIsUs,BC559,25
TechIsUs,BC640,25
TechIsUs,BD135,100
TechIsUs,BD136,100
TechIsUs,BD139,100
TechIsUs,BD140,100
TechIsUs,BD649,100
TechIsUs,BD650,50
TechIsUs,BD681,50
TechIsUs,BD682,50
TechIsUs,BF469,50
TechIsUs,BF470,50
TechIsUs,MJ10012*,75
TechIsUs,MJL21193,75
TechIsUs,MJL21194,75
TechIsUs,MJ15003,75
TechIsUs,MJ15004,75
TechIsUs,MJ2955,25
TechIsUs,MJE340,25
TechIsUs,MJE350,25
TechIsUs,MJE2955,25
TechIsUs,MJE3055,25
TechIsUs,MPSA06,100
TechIsUs,MPSA13*,100
TechIsUs,NJL1302D,100
TechIsUs,NJL3281D,100
TechIsUs,TIP2955,100
TechIsUs,TIP3055,50
TechIsUs,TIP31,75
TechIsUs,TIP32,75
TechIsUs,TIP35C,75
TechIsUs,TIP36C,75
TechIsUs,TIP41C,75
TechIsUs,TIP42C,25
TechIsUs,TIP122,25
gadgetsRUs,2N2222A,25
gadgetsRUs,2N2907,25
gadgetsRUs,2N3053,25
gadgetsRUs,2N3055,100
gadgetsRUs,2N3638,100
gadgetsRUs,2N3773,100
gadgetsRUs,2N3904,100
gadgetsRUs,2N3906,100
gadgetsRUs,MJ10012*,75
gadgetsRUs,MJL21193,75
gadgetsRUs,MJL21194,75
gadgetsRUs,MJ15003,75
gadgetsRUs,MJ15004,75
gadgetsRUs,MJ2955,25
gadgetsRUs,MJE340,25
gadgetsRUs,MJE350,25
gadgetsRUs,MJE2955,25
gadgetsRUs,MJE3055,25
gadgetsRUs,MPSA06,100
gadgetsRUs,MPSA13*,100
gadgetsRUs,NJL1302D,100
gadgetsRUs,NJL3281D,100
gadgetsRUs,TIP2955,100
gadgetsRUs,TIP3055,50
gadgetsRUs,TIP31,75
gadgetsRUs,TIP32,75
gadgetsRUs,TIP35C,75
gadgetsRUs,TIP36C,75
gadgetsRUs,TIP41C,75
gadgetsRUs,TIP42C,25
gadgetsRUs,TIP122,25
LeadsRUs,WQ7206,5
LeadsRUs,WQ7208,5
CablesRUs,WQ7221,5
CablesRUs,WQ7222,5
CablesRUs,WQ7223,5
CablesRUs,WQ7224,10
CablesRUs,WQ7225,10
CablesRUs,WQ7227,10
CablesRUs,WQ7226,10
CablesRUs,WQ7228,10
CablesRUs,WQ7230,5
CablesRUs,WQ7217,5
CablesRUs,WQ7220,5
CablesRUs,WQ7250,5
CablesRUs,WQ7259,5
CablesRUs,WV7349,10
CablesRUs,WV7347,10
CablesRUs,WA7020,10
CablesRUs,WA7022,10
CablesRUs,WV7316,10
CablesRUs,WV7318,5
CablesRUs,WV7320,5
CablesRUs,WV7321,5
CablesRUs,WV7345,5
CablesRUs,WV7342,5
CablesRUs,WV7324,10
CablesRUs,WV7300,10
CablesRUs,WV7304,10
CablesRUs,WV7306,10
CablesRUs,WV7308,10
CablesRUs,WV7386,5
CablesRUs,WV7366,5
CablesRUs,WV7384,5
CablesRUs,WV7365,5
CablesRUs,WV7385,5
LeadsRUs,WV7450,10
LeadsRUs,WV7452,10
LeadsRUs,WV7390,10
LeadsRUs,WV7392,10
LeadsRUs,WV7394,10
LeadsRUs,WV7396,5
LeadsRUs,WA7000,5
LeadsRUs,WA7006,5
LeadsRUs,WA7004,5
LeadsRUs,WA7007,5
LeadsRUs,WA7008,10
LeadsRUs,WA7009,10
LeadsRUs,WA7005,10
LeadsRUs,WA7500,10
LeadsRUs,WA7010,10
LeadsRUs,WA7011,5
LeadsRUs,WA7504,5
LeadsRUs,WA7014,5
LeadsRUs,WA7015,5
LeadsRUs,WA7017,5
LeadsRUs,WA7502,10
LeadsRUs,WA7016,10
LeadsRUs,WA7018,10
LeadsRUs,WA7024,10
LeadsRUs,WA7030,10
LeadsRUs,WA7040,5
LeadsRUs,WA7041,5
LeadsRUs,WA7042,5
LeadsRUs,WA7043,5
LeadsRUs,WA7050,5
LeadsRUs,WA7054,10
LeadsRUs,WA7070,10
LeadsRUs,WA7072,10
LeadsRUs,WA7074,10
LeadsRUs,WA7056,10
LeadsRUs,WA7058,5
LeadsRUs,WA7062,5
LeadsRUs,WA7064,5
LeadsRUs,WA7066,5
LeadsRUs,WA7068,5
LeadsRUs,WA7090,10
LeadsRUs,WA7091,10
LeadsRUs,WA7084,10
LeadsRUs,WA7088,10
LeadsRUs,WA7100,10
LeadsRUs,WA7102,5
LeadsRUs,WA7108,5
LeadsRUs,WV7349,5
LeadsRUs,WV7347,5
LeadsRUs,WA7020,5
LeadsRUs,WA7022,10
LeadsRUs,WV7316,10
LeadsRUs,WV7318,10
LeadsRUs,WV7320,10
LeadsRUs,WV7321,10
LeadsRUs,WV7345,5
LeadsRUs,WV7342,5
LeadsRUs,WV7324,5
TechIsUs2,BC327,55
TechIsUs2,BC328,55
TechIsUs2,BC337,55
TechIsUs2,BC338,55
TechIsUs2,BC639,55
TechIsUs2,BC546,80
TechIsUs2,BC547,80
TechIsUs2,BC548,80
TechIsUs2,BC549,80
TechIsUs2,BC550,80
TechIsUs2,BC556,30
TechIsUs2,BC557,30
TechIsUs2,BC558,30
TechIsUs2,BC559,30
TechIsUs2,BC640,30
TechIsUs2,BD135,105
TechIsUs2,BD136,105
TechIsUs2,BD139,105
TechIsUs2,BD140,105
TechIsUs2,BD649,105
TechIsUs2,BD650,55
TechIsUs2,BD681,55
TechIsUs2,BD682,55
TechIsUs2,BF469,55
TechIsUs2,BF470,55
TechIsUs2,MJ10012*,80
TechIsUs2,MJL21193,80
TechIsUs3,MJL21194,80
TechIsUs3,MJ15003,80
TechIsUs3,MJ15004,80
TechIsUs3,MJ2955,30
TechIsUs3,MJE340,30
TechIsUs3,MJE350,30
TechIsUs3,MJE2955,30
TechIsUs3,MJE3055,30
TechIsUs3,MPSA06,105
TechIsUs3,MPSA13*,105
